docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;selection
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;di farla lessa , mettetela al fuoco con acqua diaccia , la sua salamoia naturale , un mazzetto guarnito e;mezza cipolla;steccata con due chiodi di garofani , facendola bollire per tre o quattro ore . Spellatela quando è ancora a;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;un cibo assai grave e bisogna guardarsi dal farne una scorpacciata . Per grammi 700 di pesce , trinciate fine;mezza cipolla;e mettetela a soffriggere con olio , prezzemolo e due spicchi d ' aglio intero . Appena che la cipolla;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;dito ( di bicchiere ) di marsala , poi gettate nella cazzaruola a crogiolare con lei a fuoco lento ,;mezza cipolla;piuttosto piccola , tagliata in due pezzi , due o tre pezzi di sedano , altrettanti di una carota e;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;gettate via il poco olio rimasto e pulite la cazzaruola . Fate un battuto , tritato molto minuto , con;mezza cipolla;"di mediocre grandezza , un pezzo di sedano bianco lungo un palmo e un buon pizzico di prezzemolo ; mettetelo";non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;di gamberi potranno bastare per grammi 700 di riso e servire per otto persone . Fate un battuto abbondante con;mezza cipolla;, tre spicchi d ' aglio , carota , sedano e prezzemolo e mettetelo al fuoco con olio in proporzione;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;i piselli siano mezzo litro metteteli al fuoco in due litri d ' acqua e frattanto fate un soffritto con;mezza cipolla;, una carota , due pezzi di sedano lunghi un dito e qualche gambo di aneto , se lo avete;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;gettarvi il pesce si fa bollire per circa un quarto d ' ora coi seguenti odori : un quarto o;mezza cipolla;, a seconda della quantità del pesce , steccata con due chiodi di garofani , pezzi di sedano e di;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;. Salatela alquanto , poi arrocchiata e legata stretta , mettetela al fuoco con grammi 40 di burro e una;mezza cipolla;steccata con un chiodo di garofano e fatele prender colore . Ritirata la cazzaruola dal fuoco , versateci un bicchiere;non_ev
doc#469;1841-1947;5_ESP_ARTUSI_LA SCIENZA IN CUCINA;ESPOSITIVI;Pellegrino Artusi;La scienza in cucina e l'arte di mangiar bene;1891;;ora cambiandogli l ' acqua ogni dieci minuti , cioè tre volte . Frattanto fate un battuto tritato fine con;mezza cipollina;di quelle indicate al n . 409 , un quarto di spicchio d ' aglio , due costole di sedano;non_ev
doc#356;1692-1840;4_ESP_PALMERI_CALENDARIO DELLO AGRICOLTORE SICILIANO;ESPOSITIVI;Niccolò Palmeri;Calendario dello agricoltore siciliano;1829;;. Il quarto giorno occorrono quattro libbre e mezza di foglia . Il primo pasto sarà di una libbra e;mezza circa;: gli altri diminuiscono in proporzione che i bachi mancano di voracità . Il quinto giorno si compisce la prima;-
doc#431;1692-1840;4_SCIENT_SCINA_DELLA FISICA PARTICOLARE;SCIENTIFICI;Domenico Scinà;Elementi di fisica particolare;1829;;"nel primo quadrante avea diminuito ; ed allorchè la superficie riflettente del secondo vetro ha descritto intorno al raggio una";mezza circonferenza;, o sia il secondo piano di riflessione ritorna ad essere nel meridiano , l ' intensità della luce riflessa;non_ev
doc#204;1376-1532;2_SCIENT_DA VINCI_VOLO DI UCCELLI;SCIENTIFICI;Leonardo da Vinci;Codice sul volo degli uccelli;1506;toscano;s ' inalza . 12 r . . . l ' incurvassi tal moto e lo facessi d ' una;mezza circunferenza;, allora tale uccello si troverà al fin di tal moto col becco volto al loco donde si causò tal;non_ev
doc#505;1841-1947;5_POES_BELLI_SONETTI;POESIA;Giuseppe Gioacchino Belli;Sonetti;1864-65;;da un arbero sarta a un capannone Senza datte a ccapì ccom ' e cquarmente , Rubba a un villano;mezza colazzione;E bballa un patatù cor un zerpente . Pijja a mmerangolate sett ' o otto , Se mette un cappellaccio;non_ev
