docnumber;period;title;genre;author;title2;year;variety;left;kwic;right;pos
doc#313;1533-1691;3_SCIENT_REDI_ESPERIENZE INTORNO ALLA GENERAZIONE DEGLI INSETTI;SCIENTIFICI;Francesco Redi;Esperienze intorno alla generazione degli insetti;1668;;bachi , imperocché tale accidente è comune a tutte quell ' erbe su le quali son portati dagli animali i;semi de;' vermi . Da questi vermi prodotti su l ' erbe infracidate ho veduto talvolta nascer mosche ordinarie e talvolta;-
doc#361;1692-1840;4_ESP_VOLPI_VARIE AVVERTENZE UTILI AGLI AMATORI DE BUONI LIBRI;ESPOSITIVI;Gaetano Volpi;Varie avvertenze utili, e necessarie agli amatori de' buoni libri;1756;;"d ' uopo sbatterla con violenza fuor de ' medesimi ; lo che facendo , e si gittano lontani i";semi de;' tarli , e questi già nati e rodenti si uccidono , e così cessa l ' odiosissimo loro incominciato;-
doc#313;1533-1691;3_SCIENT_REDI_ESPERIENZE INTORNO ALLA GENERAZIONE DEGLI INSETTI;SCIENTIFICI;Francesco Redi;Esperienze intorno alla generazione degli insetti;1668;;son generati nel limo , che a mio credere è il nido in cui si depositano e si covano i;semi degl;' insetti . Dalla real generosità del Serenissimo Granduca mio Signore mi fu conceduta , quest ' inverno passato ,;-
doc#98;1376-1532;2_ESP_FICINO_EL LIBRO DELL'AMORE;ESPOSITIVI;Marsilio Ficino;El libro dell'amore;1491;toscano;", quanta è tra ' l seme e ' fiori ; e come e fiori , essendo nati da '";semi degli;alberi , producono ancora e semi , così la bellezza , che è fiore di bontà , come nasce dal;-
doc#280;1533-1691;3_POES_MARINO_ADONE;POESIA;Giambattista Marino;Adone;1623;;viene , rasciuga , o dea d ' amor , gli umidi rai . Chi dirà che fruttar possano i;semi degli;estremi dolor diletti estremi ? Del palagio del ciel ricco e lucente 8 chiuse l ' auree finestre eran già;-
doc#356;1692-1840;4_ESP_PALMERI_CALENDARIO DELLO AGRICOLTORE SICILIANO;ESPOSITIVI;Niccolò Palmeri;Calendario dello agricoltore siciliano;1829;;infatti non lavan mai i semi delle zucche e dei cocomeri . Che , se conviene separare dal frutto i;semi degli;agrumi , delle mele , delle pere , ec . , ciò è per la ragione che , contenendo ogni;-
doc#356;1692-1840;4_ESP_PALMERI_CALENDARIO DELLO AGRICOLTORE SICILIANO;ESPOSITIVI;Niccolò Palmeri;Calendario dello agricoltore siciliano;1829;;di marzo . Si tosano pure l ' erbe odorose che adornano i viali . Si fa la raccolta dei;semi dei;fiori d ' autunno , ponendo cura a raccogliere separatamente quelli delle migliori varietà per estenderne la moltiplicazione . Spesso;-
doc#356;1692-1840;4_ESP_PALMERI_CALENDARIO DELLO AGRICOLTORE SICILIANO;ESPOSITIVI;Niccolò Palmeri;Calendario dello agricoltore siciliano;1829;;pensa così , ce la conta fil filo . Approva il nostro avviso che sia malfatto il fare schiudere i;semi dei;filugelli in seno alle donne , ma la ragione che ne adduce ci tenta quasi a cambiar di opinione .;-
doc#567;1841-1947;5_SCIENT_REGNANI_ELEMENTI DI FISICA UNIVERSALE-2;SCIENTIFICI;Francesco Regnani;Elementi di fisica universale (parte seconda);1863;;nelle cellule di molti vegetali , e specialmente o nelle radici tuberose , e allora chiamasi fecula , o nei;semi dei;cereali , nel qual caso è detta amido . Da certe radici e specialmente da quelle di enula ( inula;-
doc#567;1841-1947;5_SCIENT_REGNANI_ELEMENTI DI FISICA UNIVERSALE-2;SCIENTIFICI;Francesco Regnani;Elementi di fisica universale (parte seconda);1863;;di molti vegetali , e nel regno animale ci è somministrata dal latte . V . Il glutine rinviensi nei;semi dei;"cereali e soprattutto del frumento ; è oltremodo appiccaticcio , e contiene tre principii del tutto analoghi ai tre albuminoidi";-
